2	to
lbh	let's be honest
ld	later, dude
ldi	let's do it  
ldr	long distance relationship 
lfm	looking for more
lil	little
llta	lots and lots of thunderous applause 
lmao	laughing my ass off
lmirl	let's meet in real life
lmk	let me know
lol	laugh out loud
lolz	laugh out loud
lotta	lot of
lsr	loser
ltr	longterm relationship
lua	love you always 
lub	love
lubb	love
lulab	love you like a brother 
lulas	love you like a sister 
lul	laugh
luls	laugh
lulz	laughing out loud
lumu	love you miss you
luv	love
lux	luxury
lwm	laugh with me
lwp	laugh with passion
lvl	level
m/f	male or female
m2	me too
m8	mate
me2	me too
milf	mother I would like to fuck
mma	meet me at
mmb	message me back
mvp	most valueable player
msg	message
mtf	more to follow
myob	mind your own business
nah	no
nc	no comment
nk	not kidding
ngl	not gonna lie
nlt	no later than
nm	not much
no1	no one
np	no problem
nsfw	not safe for work
nuh	no
nvm	nevermind
obo	or best offer
oic	oh, i see
oll	online love 
omg	oh my god
omw	on my way
osm	awesome
otoh	on the other hand
perv	pervert
pervy	pervert
phat	pretty hot and tempting
pir	parent in room
pls	please
plz	please
ppl	people
pro	professional
pwnd	owned
qq	crying
r	are
rly	really
rofl	rolling on the floor laughing
rolf	roll on the floor laughing
rpg	role playing games
ru	are you
s2u	shame to you
scrub	loser
sec	second
shid	slaps head in disgust
shoulda	should have
sff	so funny
smexy	smart and sexy
smh	shaking my head
somy	sick of me yet
sot	short of time 
sry	sorry
str8	straight
sux	sucks
swag	style
taze	irritate
tba	to be announced
tbfu	too bad for you
tbc	to be continued
tbd	to be determined
tbr	to be rude
tc	take care
thx	thanks
thanx	thanks
tfw	that feel when
til	today i learned
ttyl	talk to you later
ty	thank you
tyvm	thank you very much
u	you
ugh	disgusted
ur	you are
uw	you are welcome 
vs	versus
w2f	way too funny
w8	wait
wak	weird
wanna	want to
wb	welcome back
whiz	talented
whoa	surprise
whoah	surprise
wfm	works for me 
wibni	wouldn't it be nice if 
wmd	weapon of mass destruction
wot	what
wtf	what the fuck
wtg	way to go
wtgp	want to go private
wu	what's up
wuh	what?
wuv	love
ym	young man
yawn	boring
yum	good
x	kiss
xxx	kiss
xdd	laughing
y	why
yolo	you only live once
yuge	huge
yw	you're welcome
ywa	you are welcome anyway
zomg	oh my god!
zzz	sleeping
aaf	as a friend
adad	another day another dollar
adih	another day in hell
adip	another day in paradise
aeap	as early as possible
af	as fuck
afaicr	as far as i can recall / remember
afaics	as far as i can see
afaict	as far as i can tell
afair	as far as i remember
afaiu	as far as i understand
afaiui	as far as i understand it
afap	as far as possible
asl	age / sex / location
aslp	age, sex, location, picture
a/s/l/p	age, sex, location, picture
ateotd	at the end of the day
atb	all the best
b2b	business to business
b2c	business to customer
bbiab	be back in a bit
bbq	barbecue
bbs	be back soon
bcnu	be seeing you
bofh	bastard operator from hell
bsod	blue screen of death
bttt	back to the top
cmiiw	correct me if i'm wrong
cob	close of business
dftt	don't feed the trolls
dftba	don't forget to be awesome
dgaf	don't give a fuck
diaf	die in a fire
dilligaf	does it look like i give a fuck
dilligad	does it look like i give a damn
dilligas	does it look like i give a shit
d/l	download
dwnld	download
dnd	do not disturb
doa	dead on arrival
eli5	explain like i'm five
eof	end of file
eom	end of message
eol	end of life
esad	eat shit and die
eta	estimated time of arrival
faq	frequently asked question
ffs	for fuck's sake
fmcdh	from my cold dead hands
foad	fuck off and die
foaf	friend of a friend
ftfy	fixed that for you
ftr	for the record
ftl	for the loss
fu	fuck you
gbtw	get back to work
gfu	good for you
gfy	go fuck yourself
ggs	good games
gratz	congratulations
gtfo	get the fuck out
hbu	how about you
hand	have a nice day
hth	hope that helps
ibtl	in before the lock
iirc	if i remember correctly
iiuc	if i understand correctly
imho	in my honest opinion
istm	it seems to me
itym	i think you mean
iwsn	i want sex now
iydmma	if you don't mind my asking
iykwim	if you know what i mean
jas	just a sec
jftr	just for the record
kk	ok
kms	kill myself
kos	kill on sight
kthx	okay thanks
lfg	looking for group
lmbo	laughing my butt off
lmfao	laughing my fucking ass off
lmgtfy	let me google that for you
ltns	long time no see
lylab	love you like a brother
lylas	love you like a sister
mfw	my face when
motd	message of the day
mtfbwy	may the force be with you
n1	nice one
nifoc	naked in front of computer
nsoh	no sense of humor
nvmd	nevermind
o	oh
ofn	old freaking news
omfg	oh my fucking god
omgwtf	oh my god what the fuck
onoz	oh, no
otb	off to bed
pita	pain in the ass
plmk	please let me know
pm	private message
pmsl	pissing myself laughing
pos	piece of shit
pov	point of view
pl	powerleveling
rotfl	rolling on the floor laughing
roflmao	rolling on the floor laughing my ass off
rotflmao	rolling on the floor laughing my ass off
roflol	rolling on the floor laughing out loud
rotflol	rolling on the floor laughing out loud
rtfs	read the fucking source
snafu	situation normal all fucked up
stfu	shut the fuck up
stfw	search the fucking web
tanstaafl	there ain't no such thing as a free lunch
tbf	time between failures
tbh	to be honest
tg	that's great
tgif	thank god it's friday
thnx	thanks
tnx	thanks
tx	thanks
tia	thanks in advance
timwtk	this inquiring mind wants to know
tl;dr	too long; didn't read
tldr	too long; didn't read
tmi	too much information
tos	terms of service
ttbomk	to the best of my knowledge
ttfn	ta ta for now
ttyn	talk to you never
ttys	talk to you soon
tyt	take your time
ugo	you got owned
w/	with
w/o	without
wbu	what about you
w/e	weekend
wrt	with respect to
wtb	want to buy
wth	what the hell
wts	want to sell
wtt	want to trade
wug	what you got?
wubu2	what have you been up to?
wuu2	what are you up to?
wyd	what are you doing?
wysiwyg	what you see is what you get
yagni	you ain't gonna need it
yagtoh	you are going to own him
yhbt	you have been trolled
ykw	you know what?
yoyo	you're on your own
ytmnd	you're the man now, dog
tmrw	tomorrow
tomo	tomorrow
tf	the fuck
stfu	shut the fuck up
ig	i guess
nopes	nope
yups	yup
yep	yup
yuppie	yup
lols	laugh out loud
fuq	fuck
wow	wow
damn	damn
it	it
up	up
dammit	damn it
im	i am
woah	wow
